start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,line_item,project_id,organization_id,organization_name
1743724800,1743811200,2025-04-04T00:00:00+00:00,2025-04-05T00:00:00+00:00,,,,,,
1743811200,1743897600,2025-04-05T00:00:00+00:00,2025-04-06T00:00:00+00:00,,,,,,
1743897600,1743984000,2025-04-06T00:00:00+00:00,2025-04-07T00:00:00+00:00,,,,,,
1743984000,1744070400,2025-04-07T00:00:00+00:00,2025-04-08T00:00:00+00:00,0.00352795,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1744070400,1744156800,2025-04-08T00:00:00+00:00,2025-04-09T00:00:00+00:00,0.027312250000000003,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1744156800,1744243200,2025-04-09T00:00:00+00:00,2025-04-10T00:00:00+00:00,,,,,,
1744243200,1744329600,2025-04-10T00:00:00+00:00,2025-04-11T00:00:00+00:00,,,,,,
1744329600,1744416000,2025-04-11T00:00:00+00:00,2025-04-12T00:00:00+00:00,,,,,,
1744416000,1744502400,2025-04-12T00:00:00+00:00,2025-04-13T00:00:00+00:00,0.010576799999999999,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1744502400,1744588800,2025-04-13T00:00:00+00:00,2025-04-14T00:00:00+00:00,,,,,,
1744588800,1744675200,2025-04-14T00:00:00+00:00,2025-04-15T00:00:00+00:00,0.011597200000000004,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1744675200,1744761600,2025-04-15T00:00:00+00:00,2025-04-16T00:00:00+00:00,0.0135969,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1744761600,1744848000,2025-04-16T00:00:00+00:00,2025-04-17T00:00:00+00:00,0.005485,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1744848000,1744934400,2025-04-17T00:00:00+00:00,2025-04-18T00:00:00+00:00,0.0037424999999999997,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1744934400,1745020800,2025-04-18T00:00:00+00:00,2025-04-19T00:00:00+00:00,,,,,,
1745020800,1745107200,2025-04-19T00:00:00+00:00,2025-04-20T00:00:00+00:00,,,,,,
1745107200,1745193600,2025-04-20T00:00:00+00:00,2025-04-21T00:00:00+00:00,,,,,,
1745193600,1745280000,2025-04-21T00:00:00+00:00,2025-04-22T00:00:00+00:00,,,,,,
1745280000,1745366400,2025-04-22T00:00:00+00:00,2025-04-23T00:00:00+00:00,0.010117099999999999,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1745366400,1745452800,2025-04-23T00:00:00+00:00,2025-04-24T00:00:00+00:00,,,,,,
1745452800,1745539200,2025-04-24T00:00:00+00:00,2025-04-25T00:00:00+00:00,0.03110135,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1745539200,1745625600,2025-04-25T00:00:00+00:00,2025-04-26T00:00:00+00:00,,,,,,
1745625600,1745712000,2025-04-26T00:00:00+00:00,2025-04-27T00:00:00+00:00,,,,,,
1745712000,1745798400,2025-04-27T00:00:00+00:00,2025-04-28T00:00:00+00:00,,,,,,
1745798400,1745884800,2025-04-28T00:00:00+00:00,2025-04-29T00:00:00+00:00,,,,,,
1745884800,1745971200,2025-04-29T00:00:00+00:00,2025-04-30T00:00:00+00:00,,,,,,
1745971200,1746057600,2025-04-30T00:00:00+00:00,2025-05-01T00:00:00+00:00,,,,,,
1746057600,1746144000,2025-05-01T00:00:00+00:00,2025-05-02T00:00:00+00:00,0.015208999999999999,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1746144000,1746230400,2025-05-02T00:00:00+00:00,2025-05-03T00:00:00+00:00,,,,,,
1746230400,1746316800,2025-05-03T00:00:00+00:00,2025-05-04T00:00:00+00:00,,,,,,
1746316800,1746403200,2025-05-04T00:00:00+00:00,2025-05-05T00:00:00+00:00,,,,,,
