start_time,end_time,start_time_iso,end_time_iso,input_tokens,output_tokens,num_model_requests,project_id,user_id,api_key_id,model,batch,service_tier,input_cached_tokens,input_uncached_tokens,input_audio_tokens,output_audio_tokens
1741046400,1741132800,2025-03-04T00:00:00+00:00,2025-03-05T00:00:00+00:00,197564.0,6302.0,151.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,94208.0,103356.0,0.0,0.0
1741046400,1741132800,2025-03-04T00:00:00+00:00,2025-03-05T00:00:00+00:00,10869.0,1102.0,22.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,10869.0,0.0,0.0
1741132800,1741219200,2025-03-05T00:00:00+00:00,2025-03-06T00:00:00+00:00,11639.0,227.0,8.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,4480.0,7159.0,0.0,0.0
1741132800,1741219200,2025-03-05T00:00:00+00:00,2025-03-06T00:00:00+00:00,4506.0,369.0,3.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,4506.0,0.0,0.0
1741219200,1741305600,2025-03-06T00:00:00+00:00,2025-03-07T00:00:00+00:00,106388.0,3016.0,81.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,53376.0,53012.0,0.0,0.0
1741219200,1741305600,2025-03-06T00:00:00+00:00,2025-03-07T00:00:00+00:00,14303.0,1840.0,13.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,14303.0,0.0,0.0
1741305600,1741392000,2025-03-07T00:00:00+00:00,2025-03-08T00:00:00+00:00,51268.0,1540.0,39.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,22016.0,29252.0,0.0,0.0
1741305600,1741392000,2025-03-07T00:00:00+00:00,2025-03-08T00:00:00+00:00,1803.0,408.0,10.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,1803.0,0.0,0.0
1741392000,1741478400,2025-03-08T00:00:00+00:00,2025-03-09T00:00:00+00:00,,,,,,,,,,,,,
1741478400,1741564800,2025-03-09T00:00:00+00:00,2025-03-10T00:00:00+00:00,,,,,,,,,,,,,
1741564800,1741651200,2025-03-10T00:00:00+00:00,2025-03-11T00:00:00+00:00,22038.0,654.0,17.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,16128.0,5910.0,0.0,0.0
1741564800,1741651200,2025-03-10T00:00:00+00:00,2025-03-11T00:00:00+00:00,654.0,299.0,4.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,654.0,0.0,0.0
